title,url,id,subtitle,snippet,replies,views,username
Roblox removed the builders club hard hat.,https://www.robloxforum.com/threads/roblox-removed-the-builders-club-hard-hat.40319/post-194469,194469,Everything Roblox,"Hello, Roblox Fan here. Today, roblox removed the builders club hard hat. Thankfully, I got builders club before it was removed, so I have it in my inventory.
Guys, let me know what you think about this removal and i'll see you in the next forum post.
Bye!",1,2K,2019-05-26T20:08:57-0400
Roblox is a big joke now lol.,https://www.robloxforum.com/threads/roblox-is-a-big-joke-now-lol.82852/post-487846,487846,Everything Roblox,"No one will care to go here but I am here to explain why Roblox is a joke in 2021.
1. There is a client problem in Roblox where you get this Error Code 268. Now that means that you got kicked for Unexpected Client Behaviour. Which is stupid because first of all there are really no problems with...",7,402,2021-08-21T02:22:52-0400
Roblox reset email wont arrive in hotmail,https://www.robloxforum.com/threads/roblox-reset-email-wont-arrive-in-hotmail.53589/post-279661,279661,Help,"I am am veteran of roblox from 2011 iv used my roblox account alot but recently, roblox wont send me a reset email. iv looked all over the internet trying to find why but no luck. iv even tried the reset on another account that had hotmail and it worked. but for some reason roblox has stopped...",8,938,2020-08-31T01:59:08-0400
Roblox Error 503 Not working,https://www.robloxforum.com/threads/roblox-error-503-not-working.49782/post-259709,259709,Everything Roblox,"My Roblox isnt working, no applications are. Im pretty sure its a problem for ROBLOX, and not with me. This is whats coming for me: If you are experiencing the same issues, or if its solved, please tell me.",2,456,2020-06-16T23:52:06-0400
Roblox game constantly freezing,https://www.robloxforum.com/threads/roblox-game-constantly-freezing.18725/post-114783,114783,Help,"My roblox would freeze for like 3-5 seconds constantly. I don't know what's wrong with it. Can anyone help me? It wasn't like this before. I've updated everything, video card, directx, java, etc.
I will attach a file information from dxdiag.",0,360,2018-07-08T16:35:57-0400
Roblox,https://www.robloxforum.com/threads/roblox.96994/post-568196,568196,New Member Introductions,"Sup roblox what games to you play i want tp olay livetopia v dis slow how do i fix it i want to play it on my how you get rich looks have any money i aint spenden money
Thats my favorite color awosome",1,115,2022-04-13T23:50:28-0400
ROBLOX I WANT MY BLOXY FACE!,https://www.robloxforum.com/threads/roblox-i-want-my-bloxy-face.69285/post-382207,382207,Everything Roblox,hi roblox sorry for the cap lock but its just that i got the blox face badge but i dont have the face? i checked and refreshed my page but i dont have it. please help me roblox my username is : awesomeafg1,3,206,2021-03-27T16:40:23-0400
Roblox events have really declined in quality this year,https://www.robloxforum.com/threads/roblox-events-have-really-declined-in-quality-this-year.54921/post-286727,286727,Everything Roblox,"Now Roblox is doing scummy things like making hats cost robux instead of free. In fact, Roblox has an event right now where EVERY hat costs robux. Roblox really needs to consider how they make their events and such.",5,321,2020-09-25T18:27:29-0400
"Roblox Has Changed All ""Games""",https://www.robloxforum.com/threads/roblox-has-changed-all-games.73432/post-416711,416711,Everything Roblox,"You may have noticed, Roblox had changed all the ""Games"" into ""Experiences"". For example, it says ""Friends visiting"" instead of ""Friends playing"". Why had Roblox changed that?
If you have played Fortnite on iOS, when you purchase V-bucks, the Apps Store gets 30% of the money. Epic Games (The...",0,134,2021-05-16T15:20:57-0400
Roblox not rendering on Mac,https://www.robloxforum.com/threads/roblox-not-rendering-on-mac.42416/post-207601,207601,Help,"""Heavier"" games on Roblox work trash on my Mac. They never render well. A lot of the parts and other people in the games just are invisible or are all grey. Some buttons also are invisible, which makes a lot of games unplayable. With heavier I mean games like Phantom Forces.
Screenshot of...",17,3K,2019-09-07T11:17:21-0400
Roblox Ping (Please help),https://www.robloxforum.com/threads/roblox-ping-please-help.81199/post-476668,476668,General Discussion,"I live in Australia, I've played Roblox for years. a few years in I realized I had high ping but didn't notice. But now I find games that I really like but in order to play them up to par with everyone else I need good ping. I feel like I've tried EVERYTHING to lower my ping, and I believe I...",3,281,2021-08-02T01:38:12-0400
Roblox Rip-offs have gone too far.,https://www.robloxforum.com/threads/roblox-rip-offs-have-gone-too-far.94340/post-555250,555250,Everything Roblox,"Why Do They Suck?
They generally ripoff assets and items from Roblox.
When Brick Hill ripped off Roblox's Blue Bubble Trouble in 2018, Space lied to people and said he never knew what it is, yet it clearly looks similar to it.
Brick Hill later added a item named Impostor Head in 2021, and the...",3,355,2022-02-23T13:40:39-0500
Roblox Studio fps issues.,https://www.robloxforum.com/threads/roblox-studio-fps-issues.14091/post-88130,88130,Help,"Heyo, my roblox studio is incredibly choppy I think I'm getting a solid 20 fps which is friggin' insane! When I play Roblox itself on other people's games or my games I run a smooth 60 all the time. The poor performance only occurs when I am in studio edit mode. This hasn't happened before, it...",6,1K,2018-05-21T22:44:04-0400
Roblox not sending 2FA code.,https://www.robloxforum.com/threads/roblox-not-sending-2fa-code.68510/post-376337,376337,Everything Roblox,"Hello everyone, Roblox is not sending me any 2FA codes or reset password codes, I've recently been logged out of my account for this and I cannot log back in, I tried to contact Roblox and they said reset your password but it doesn't send me the link for it either, I would appreciate if anyone...",0,206,2021-03-19T07:49:35-0400
Roblox's new robux system...,https://www.robloxforum.com/threads/robloxs-new-robux-system.25602/post-129709,129709,Help,"so roblox started using a web site called Xsolla to manage robux, but guess what... it doesnt give you robux and it takes your money!!! But if you just look up a tutorial on how to get rid of it your ok",14,2K,2018-07-27T16:14:41-0400
ROBLOX LOGIC :I,https://www.robloxforum.com/threads/roblox-logic-i.9692/post-53484,53484,Everything Roblox,"So in roblox you are a 10 year old kid that likes to shoot things and has a adiction for noobs,he doesint have robux and wants to get hot gf's online and have ""Siks"" With them,
Roblox partyes are weird
everytime you go into one you see:
And that isint even the begining,there are even trollers...",3,524,2018-04-04T11:30:02-0400
"ROBLOX group ""IT ALLIANCE"" EXPOSED",https://www.robloxforum.com/threads/roblox-group-it-alliance-exposed.15556/post-97294,97294,Everything Roblox,"IT ALLIANCE (https://www.roblox.com/My/Groups.aspx?gid=3508452) is an anti-oder group, mostly being known for attacking a group called ""dabber clan"" (https://www.roblox.com/My/Groups.aspx?gid=3579415). They are also attacking a girl named ""hotchelsey"". They claim she is an oder. Alright, saying...",4,656,2018-06-04T02:09:37-0400
ROBLOX Plugin Development (HIRING),https://www.robloxforum.com/threads/roblox-plugin-development-hiring.25061/post-126401,126401,Game Design,"Hello everyone.I am RoccoAttackYT(ROBLOX)
I am working on an Artificial Intelligence plugin project for ROBLOX.The goal is to achieve high amounts of intelligence.As the title says,I am hiring (On a sorry note: i do not have enough ROBUX to pay you all the time.Sorry unless your fine with that)...",0,352,2018-07-21T18:57:51-0400
Roblox Showcases,https://www.robloxforum.com/threads/roblox-showcases.44397/post-225091,225091,Everything Roblox,"Hello!
I am here to show you a part of Roblox many people glance over.
Showcases.
Showcases are games people make that are just to look at.
Some showcases have a lot of effort into them, and I wanted to share 3 with you today, and hopefully get you interested in showcases.
1. Christmas Cabin by...",0,321,2019-12-21T12:39:48-0500
roblox clothing groups to share (40+ groups mentioend),https://www.robloxforum.com/threads/roblox-clothing-groups-to-share-40-groups-mentioend.70909/post-396135,396135,Everything Roblox,"...aesthetic or emo clothing group which is just about the only ones I really see nowadays. I always google searched ""original clothing groups roblox"" and could really only find 1 or 2 or a bad youtube video that has 8 generic clothing stores so I found my own and here's what I found. Most of...",0,6K,2021-04-14T12:09:17-0400
Roblox Censoring Usernames/Existing Game Titles/Innocent Words,https://www.robloxforum.com/threads/roblox-censoring-usernames-existing-game-titles-innocent-words.39393/post-188358,188358,Help,"So, I've been having a problem with the Roblox Tagging System. It's censoring usernames when you search them in the ""Players"" category but not in-game (which I suppose is an update making it easier to speak to people by using their username in the message). Roblox is also censoring game titles...",8,3K,2019-04-28T15:53:15-0400
Roblox not working and saying Error 4,https://www.robloxforum.com/threads/roblox-not-working-and-saying-error-4.6651/post-44582,44582,Help,"Hey Roblox has not been working for some windows 10 users (maybe mac idk) and it has been saying ""initializing error 4""
post if you are having a problem or you know a solution",4,2K,2018-03-20T16:59:02-0400
Roblox disconnecting without popup,https://www.robloxforum.com/threads/roblox-disconnecting-without-popup.76041/post-439344,439344,Help,"Hi there,
My Roblox often disconnects randomly without the disconnected popup. When I disconnect I can still move around in-game but other players will see me as disconnected/left the game. My situation is similar to this thread, https://robloxforum.com/threads/roblox-randomly-closing.63324/ but...",0,163,2021-06-11T01:13:46-0400
ROBLOX FORUM NEWS FIRST AIRING,https://www.robloxforum.com/threads/roblox-forum-news-first-airing.91569/post-538863,538863,Everything Roblox,"WHAAAAAT IIIIISSSSS UP ROBLOX FORUM NEWS MY NAME IS KILLER DOMINICFOX101 LET'S GET ROOOOOOIIIIIIGHT INTO THE NOOOOOOWWWSSS
SO TODAY i went on to roblox and i saw a friend of mine playing a game called gacha life. of course, i dislike gacha life, and i almost joined him to make fun of him BUT...",3,285,2022-01-06T20:16:48-0500
Roblox Clothing Hack,https://www.robloxforum.com/threads/roblox-clothing-hack.50115/post-261877,261877,Everything Roblox,"Say, you want this roblox shirt. But as you can see, it's 14 robux and you want it for the most cheapest price, 5 robux. But maybe you don't have premium, so
you can't copy the shirt.
Here's how to get the shirt without premium.
Step one: Select and copy the title of the shirt.
Step two...",2,2K,2020-06-26T18:31:29-0400
roblox started lagging for no reasobn,https://www.robloxforum.com/threads/roblox-started-lagging-for-no-reasobn.102844/post-594844,594844,Help,"hi i use to play roblox everyday and everything was normal, no lag, no crash my game was normal until one day i wanted to join some friends on piggy but when i tried to join them, my screen was freezing, my mouse wasn't appearing on my screen and nothing was moving, the only thing i could do was...",0,57,2022-08-19T11:25:43-0400
Roblox custom character not moving/floating in the air,https://www.robloxforum.com/threads/roblox-custom-character-not-moving-floating-in-the-air.47075/post-242107,242107,Help,"I have been working on a Roblox game that is quite similair to the 80's arcade game called Q bert where the goal is to change all the colors of the squares by jumping on them.
I have made a custom Roblox character a robot with a floppy disk for a belly that is supposed to replace the default...",2,1K,2020-04-12T23:36:44-0400
Roblox Forum is becoming a mess,https://www.robloxforum.com/threads/roblox-forum-is-becoming-a-mess.35437/post-171323,171323,Help,"Come back to Roblox Forum, it's becoming a mess! Come back to Roblox Forum, it's becoming a mess!
Come back to Roblox Forum, it's becoming a mess!Come back to Roblox Forum, it's becoming a mess!Come back to Roblox Forum, it's becoming a mess!Come back to Roblox Forum, it's becoming a mess!Come...",6,356,2018-11-28T09:53:29-0500
Roblox Studio invisible parts glitch,https://www.robloxforum.com/threads/roblox-studio-invisible-parts-glitch.81410/post-477841,477841,Help,"I edited my Roblox game, then published the changes I made and exited Studio. None of the changes I made were published and I opened Studio when I saw
none of my changes were made and this was on the screen
All my parts where there but it didn't show in studio and when I add a new part...",2,232,2021-08-04T09:20:24-0400
"Roblox Forum is Being Revamped I Information, F.A.Q. & More",https://www.robloxforum.com/threads/roblox-forum-is-being-revamped-i-information-f-a-q-more.36102/post-175021,175021,General Discussion,"Introduction
Hello fellow forumers, my name is Natalie and I am the creator of a new Roblox Forum Discord (soon to be website), you may have seen advertisements around this Discord and in the official Roblox Forum Discord. It is very confusing as there is no clear distinction between the two and...",21,614,2018-12-10T23:02:28-0500
